City,Country,Race,Date,StartTime,Participation,Distance,ElevationGain,ElevationLoss,AidStations,Participants
Yichang,China,UTTG,2019-11-28,20:00:00,solo,172.8,10410,-10230,13,450
BerrysCreek,Australia,100 Mile Individual,2019-11-23,04:30:00,solo,155.3,6450,-6450,4,100
SanDiego,United States,100 Miler,2019-11-23,05:00:00,solo,161.6,2560,-2520,5,0
Bidiyah,Oman,Oman Desert Marathon,2019-11-16,06:30:00,solo,163,3120,-3590,13,99
ChiangMai,Thailand,Pong Yaeng Trail 166,2019-11-15,10:00:00,solo,172.2,8000,-8000,14,200
Vienna,United States,100mi,2019-11-09,07:00:00,solo,161.4,1540,-1540,21,0
Faridabad,India,160 Km,2019-11-08,14:00:00,solo,160.7,960,-960,0,20
NA,United States,100 MILES,2019-11-07,00:00:00,solo,0,0,-0,19,0
Shawnee,United States,100 Mi,2019-11-02,06:00:00,solo,0,0,-0,13,56
Sylacauga,United States,Pinhoti 100,2019-11-02,07:00:00,solo,155,4060,-4180,17,250
Bogor,Indonesia,BTS 170K,2019-11-01,19:00:00,solo,169.5,7540,-7540,15,50
Kullaberg,Sweden,Kullamannen Ultra 100 Miles,2019-11-01,09:00:00,solo,174.4,4260,-4240,11,500
Bandera,United States,100 Mile,2019-10-27,05:00:00,solo,162.4,3500,-3500,20,0
Kannonkoski,Finland,160 km,2019-10-26,08:00:00,solo,159,2130,-2130,4,0
FortMcDowell,United States,100 Miles,2019-10-26,06:00:00,solo,160.5,1720,-1720,26,799
BENARRABA,Spain,100 millas Valle del Genal,2019-10-25,21:00:00,solo,162,7400,-7400,20,220
ainhasofet,Israel,166km,2019-10-24,06:00:00,solo,164.2,3380,-3390,18,100
WadiRum,Jordan,165 km non stop,2019-10-24,06:30:00,solo,165.2,2790,-2560,0,20
NA,United States,100 Mi,2019-10-19,00:00:00,solo,0,0,-0,0,0
qinhuangdao,China,168K,2019-10-19,04:00:00,solo,160.2,9470,-9230,14,100
Davenport,United States,100 Mile,2019-10-18,08:00:00,solo,169,4330,-4330,19,0
Haidou,Greece,Rodopi Advendurun,2019-10-18,06:00:00,solo,162.9,6910,-6910,6,200
SaintDenis,France,La Diagonale Des Fous,2019-10-17,22:00:00,solo,168.1,9610,-9560,15,2900
Yalta,Ukraine,Stage Race,2019-10-16,10:00:00,solo,169.1,8310,-8140,11,200
Truckee,United States,100 Mile,2019-10-13,05:30:00,solo,159.2,6590,-6590,20,100
Bromont,Canada,160km,2019-10-12,07:00:00,solo,155.6,6220,-6220,17,0
GoringOnThames,United Kingdom,Centurion Autumn 100,2019-10-12,09:00:00,solo,161.5,2060,-2060,14,250
Norton,United States,100 Mile,2019-10-12,08:00:00,solo,160.7,5660,-5660,16,100
Tumbarumba,Australia,100 Mile,2019-10-12,06:00:00,solo,163.1,4610,-4600,10,100
Albion,United States,100 mi,2019-10-12,06:00:00,solo,162.4,3480,-3460,5,250
Novorossiysk,Russia,100 miles - Solo,2019-10-12,12:00:00,solo,162.7,6910,-6910,34,100
NewIpswitch,United States,Midstate Massive Ultra Trail,2019-10-12,00:00:00,solo,162.4,3720,-3970,16,500
BetwsyCoed,United Kingdom,Snowdon Ultra 100,2019-10-12,06:00:00,solo,163.5,7600,-7600,13,100
Cederberg,South Africa,100 Mile,2019-10-11,06:00:00,solo,163,6500,-6500,5,50
Huechuraba,Chile,160 Km,2019-10-11,17:00:00,solo,163.9,8220,-9860,16,100
CUNDINAMARCA,Colombia,170 Km ULTRA DE ULTRAS,2019-10-11,20:00:00,solo,170,9910,-9910,14,50
PARANESTI,Greece,Ultra-Trail®,2019-10-11,00:00:00,solo,163.9,7260,-7260,15,150
bolquere,France,100 Miles,2019-10-04,10:00:00,solo,172.5,8420,-10160,15,500
Swoope,United States,Grindstone 100,2019-10-04,00:00:00,solo,159.6,6980,-6980,15,300
Magelang,Indonesia,170 Km,2019-10-04,17:00:00,solo,167.9,9590,-9590,11,0
Cerknica,Slovenia,SLO100 KRPAN 171 km,2019-10-04,15:00:00,solo,173.5,7790,-7790,11,150
KwasniówDolny,Poland,Szlak Orlich Gniazd - Ultra,2019-10-04,20:00:00,solo,161.3,2710,-2690,7,100
Castielfabib,Spain,UTR 170K,2019-10-04,19:00:00,solo,172.1,6730,-6720,15,100
Dwellingup,Australia,WTF 100,2019-09-28,06:00:00,solo,163,3960,-3960,7,30
Smithfield,United States,Bear 100 Endurance Trail Race,2019-09-27,06:00:00,solo,163,6680,-6350,13,300
Dalton,United States,100 Miler,2019-09-22,05:00:00,solo,162.8,4000,-4000,18,70
Västerås,Sweden,100 Miles,2019-09-21,10:00:00,solo,161.5,1030,-1030,9,200
ChippingCampden,United Kingdom,102 Miles,2019-09-21,12:00:00,solo,165.6,4130,-4240,10,130
Bansko,Bulgaria,160km,2019-09-21,00:00:00,Solo,161.2,10980,-10980,9,0
Westcliffe,United States,100-Mile,2019-09-21,04:00:00,solo,168.2,5910,-5910,13,300
Whistler,Canada,100M,2019-09-21,10:00:00,solo,174.8,10310,-10300,10,300
Vezzad'Oglio,Italy,Ultra-Trail®,2019-09-20,09:00:00,solo,165,11380,-11380,19,0
Howick,South Africa,Karkloof100,2019-09-20,20:00:00,solo,157,3330,-3410,18,140
Chelsea,Canada,160K,2019-09-20,08:00:00,solo,160.8,4870,-4870,11,100
NA,United States,100 Mile,2019-09-14,00:00:00,solo,0,0,-0,0,0
Pine,United States,100 Mi,2019-09-14,06:00:00,solo,164.7,5540,-5530,12,150
NA,United States,100 MILE,2019-09-14,00:00:00,solo,0,0,-0,0,0
Ohzatagiri,"Myoko, Japan",100 miles,2019-09-14,18:30:00,solo,160.3,6570,-6390,9,0
Patonga,Australia,100 MILES,2019-09-14,06:00:00,Solo,162.5,5100,-5110,5,100
RADKÓW,Poland,Challange 158,2019-09-13,05:00:00,solo,158.9,5350,-5340,11,50
NA,United States,100 Hare,2019-09-13,00:00:00,solo,165.8,6160,-6160,0,0
Uttarkashi,India,Uttarkashi 160,2019-09-13,06:00:00,solo,157.4,8270,-7820,0,20
Wellsboro,"PA, United States",100Miles,2019-09-07,00:00:00,solo,0,0,-0,0,0
Ashland,United States,PINE TO PALM 100 MILE ENDURANCE RUN,2019-09-07,00:00:00,solo,155.3,5780,-6000,0,134
Rózsaszentmárton,Hungary,Vadrózsa 160,2019-09-07,06:45:00,solo,159.5,6820,-6820,17,100
NA,United States,WASATCH FRONT 100 MILE ENDURANCE RUN,2019-09-07,06:00:00,solo,0,0,-0,0,0
StDogmaels,United Kingdom,100,2019-09-06,08:00:00,solo,163.7,4070,-4070,7,100
Lutsen,United States,100m,2019-09-06,08:00:00,solo,168,5200,-5060,13,0
LeBouveret,Switzerland,170,2019-09-06,13:00:00,solo,168.7,11780,-13010,13,400
NA,United States,100 miles,2019-09-01,00:00:00,solo,0,0,-0,0,0
ulukisla,Turkey,100 Mile,2019-08-30,18:00:00,solo,160.1,2830,-2830,15,0
Chamonix,France,UTMB®,2019-08-30,18:00:00,solo,170.7,9930,-9930,16,2300
NA,United States,Cascade Crest 100 Mile Endurance Run,2019-08-24,00:00:00,solo,0,0,-0,0,0
Lyskovo,Russia,160 ??,2019-08-24,05:00:00,solo,159.4,1790,-1700,3,6
CatSprings,United States,100M,2019-08-17,12:00:00,solo,161.7,2290,-2290,3,0
Leadville,United States,Leadville Trial 100 Run,2019-08-17,00:00:00,solo,162.1,4230,-4230,13,0
BigBearLake,United States,Kodiak 100 Mile,2019-08-16,18:00:00,solo,164.7,5320,-5320,14,125
Asenovgrad,Bulgaria,PERSENK ULTRA,2019-08-16,18:00:00,solo,164.6,7090,-7100,13,150
Münster,Switzerland,160KM,2019-08-16,07:00:00,solo,157.6,9650,-9650,15,300
Custer,United States,LEAN HORSE HUNDRED,2019-08-15,00:00:00,solo,0,0,-0,0,0
OldLaSal,United States,Ute 100 Mile Trail Race,2019-08-10,03:00:00,solo,159.5,6180,-6180,9,200
farnham,United Kingdom,Centurion North Downs Way 100,2019-08-03,06:00:00,solo,168,3420,-3460,14,300
